globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
7b8efd54-b289-4ff9-8be2-b1ab5adb5691,väggkonstruktion med solid stomme av prefabricerade element av trä,"massivträ, KL-element, KL-skivor, byggdelstyp 35
",AD16,Väggkonstruktion med solid stomme av prefabricerade element av trä,311358,0,312660,311358.0,,
5f462827-57d1-4e62-8501-64441df79701,väggkonstruktion med kärna i form av pelare,,AD20,Väggkonstruktion med pelarstomme,575569,0,311364,575569.0,,
595510e8-c8b8-4748-8672-76b56783b21e,väggkonstruktion med pelarstomme av platsgjuten betong,byggdelstyp 11,AD21,Väggkonstruktion med pelarstomme av platsgjuten betong,311364,0,312658,311364.0,,
fb8f7c18-1ff9-4fee-9323-558c24eb2aff,väggkonstruktion med pelarstomme av murverk,byggdelstyp 21,AD22,Väggkonstruktion med pelarstomme av murverk,311364,0,312656,311364.0,,
149dc31a-aa00-46a5-8098-fa29f75f313c,väggkonstruktion med pelarstomme av prefabricerade element av betong,byggdelstyp 31,AD23,Väggkonstruktion med pelarstomme av prefabricerade element av betong,311364,0,312651,311364.0,,
c684346f-d7bd-4866-ab87-7e15ff4b6517,väggkonstruktion med pelarstomme av prefabricerade element av stål,byggdelstyp 34,AD24,Väggkonstruktion med pelarstomme av prefabricerade element av stål,311364,0,312652,311364.0,,
b19f187f-b407-4b01-8361-fb6fc27cc1fc,väggkonstruktion med pelarstomme av prefabricerade element av trä,byggdelstyp 35,AD25,Väggkonstruktion med pelarstomme av prefabricerade element av trä,311364,0,312653,311364.0,,
03ede5bf-a2fc-446d-a492-950fd0484b7e,väggkonstruktion med pelarstomme av formvaror av trä,,AD26,Väggkonstruktion med pelarstomme av formvaror av trä,311364,0,312654,311364.0,,
9c74aece-dfee-4a8c-90e3-9199771d0e68,väggkonstruktion med pelarstomme av formvaror av stål,byggdelstyp 51,AD27,Väggkonstruktion med pelarstomme av formvaror av stål,311364,0,312655,311364.0,,
ab1190b1-ca9f-46ab-811c-32db081faa33,väggkonstruktion med kärna i form av ett ramverk av pelare och balkar,"regelvägg, byggdelstyp 40, utfackningsvägg
",AD30,Väggkonstruktion med pelar-balkstomme,575569,0,311369,575569.0,,
b0c44056-f116-4e0f-9d72-19bc428618c5,"väggkonstruktion med pelar-balkstomme av trä, platsbyggd","byggdelstyp 42, utfackningsvägg
",AD31,Väggkonstruktion med platsbyggd regelstomme av trä,311369,0,312647,311369.0,,
ab47c4da-8746-49a4-a5cc-0d124be992ad,"väggkonstruktion med pelar-balkstomme av stål, platsbyggd","byggdelstyp 41, utfackningsvägg
",AD32,Väggkonstruktion med platsbyggd regelstomme av stål,311369,0,312648,311369.0,,
