globalIdentifier,definition,note,identifier,title,parentId,statusId,id,example,parent
bde4ca80-b962-4842-be6c-112e4833c92d,kombinerat avloppsvattensystem för spill- och dränvatten,,G42,Kombinerat spill- och dränvattensystem,311305,0,312429,,311305.0
452f40e9-66b1-4142-96da-ecefaaa172e0,avfallssystem för restprodukt eller annat som bedömts sakna värde och som därför har kasserats,,G50,Avfallshanteringssystem,575553,0,311306,"Sophanteringssystem, sopsugssystem
",575553.0
bcd6d2bb-77be-4e46-b7e5-4ae2aa3e3fc7,avfallshanteringssystem från matproduktion eller matlagning,,G51,Matavfallshanteringssystem,311306,0,312425,,311306.0
37cff376-6dc0-40a7-9139-1cc2c67e1216,avfallshanteringssystem för slam,,G52,Slamhanteringssystem,311306,0,312426,,311306.0
7f155d7f-7f8a-4b63-a16c-91ed5d1112e9,avfallshanteringssystem för potentiellt skadligt avfall,,G53,Riskavfallshanteringssystem,311306,0,312427,,311306.0
6a6d4f8c-eced-43ff-83d4-372f788226d8,avfallshanteringssystem för icke sorterat avfall,,G54,Restavfallshanteringssystem,311306,0,312370,Sopsugssystem,311306.0
24a4b25d-88af-4cfb-8e72-45df4444323d,avfallssystem för småpartiklar genom sugning,,G60,Centraldammsugningssystem,575553,0,311307,,575553.0
40ad5677-dd82-443c-808d-6a9a81c9c516,avfallssystem för smutsiga textilier,,G70,Tvätthanteringssystem,575553,0,311308,Tvättsugssystem,575553.0
46e9a7d3-c964-4471-8650-c8585047bda4,"installationssystem som tillför dricksvatten, tekniskt vatten eller vätska",,F,Vatten- och vätskesystem,575550,0,575552,"Råvattensystem, renvattensystem, tappkallvattensystem, tappvarmvattensystem, hetvattensystem, specialvattensystem, drivmedelssystem, bevattningssystem, grundvattensystem",575550.0
2fb9cc47-2ca4-4169-a098-8621041b856c,vattensystem för obehandlat vatten,,F10,Råvattensystem,575552,0,311297,,575552.0
0fdc51b4-658c-4883-8ff6-1ef88092624d,råvattenystem för insamling av regnvatten,,F11,System för insamling av regnvatten,311297,0,312449,,311297.0
35bb94c7-9de1-4af6-bd80-1dcefcc6d89f,vattensystem för vatten tjänligt för mänskligt bruk,,F20,Tappvattensystem,575552,0,311304,renvatten,575552.0
732944c0-2369-4d97-8834-016e5eeb652c,renvattensystem för ej uppvärmt vatten,,F21,Tappkallvattensystem,311304,0,312430,"dricksvatten
",311304.0
3da654b0-8b9b-4db5-a09c-697076d966bb,renvattensystem för uppvärmt vatten,,F22,Tappvarmvattensystem,311304,0,312431,,311304.0
9e05a1b9-02fb-45bb-9021-d2e37d9a7448,vattensystem för speciell användning,,F30,Specialvattensystem,575552,0,311298,,575552.0
54977c44-34d3-4d74-a55a-df49de53994b,specialvattensystem för vatten med sänkt mineralhalt,,F31,System för avhärdat vatten,311298,0,312445,,311298.0
7fe7c9a1-145c-48ad-942d-0192358a99cf,specialvattensystem för återkondenserad vattenånga,,F32,System för destillerat vatten,311298,0,312446,,311298.0
352338ab-6298-4ef6-9f57-d360fdd10ef3,specialvattensystem för vatten som passerat jonbytarkolonn,,F33,System för avjoniserat vatten,311298,0,312447,,311298.0
fde0a067-5986-4a8d-af4d-2fbae02ffc82,specialvattensystem för vatten med en temperatur över 100 °C ,,F34,Hetvattensystem,311298,0,312448,,311298.0
667f0b71-0a03-4be0-a366-1a2bfd4696c0,vätskesystem för bränsle,,F40,Drivmedelssystem,575552,0,311299,,575552.0
f1478182-c790-48db-bdec-1b0b4b7cc3c8,drivmedelssystem för bensin,,F41,Bensinsystem,311299,0,312442,,311299.0
900f4172-b814-4ef1-88e9-b4901e8aa21e,drivmedelssystem för olja,,F42,Oljesystem,311299,0,312443,"dieselolja
",311299.0
c08f57d1-81bc-42a5-bf9a-4889dddec672,drivmedelssystem för fotogen,,F43,Fotogensystem,311299,0,312444,,311299.0
c6f07744-a701-4d21-bd80-cee4cac5b607,vattensystem för bevattning,,F50,Bevattningssystem,575552,0,311300,,575552.0
723f6bc7-40a8-4e98-9aea-5f7ab65ccc3b,vattensystem för infiltration i mark,,F60,Grundvattensystem,575552,0,311301,"Infiltrationsvattensystem
",575552.0
f056a18a-7be0-4cd3-aab4-ed078ed8ebf7,installationssystem som tillför tekniska gaser eller teknisk luft,,E,Gas- och luftsystem,575550,0,575551,"Energigassystem, processgassystem, medicinsk gassystem, specialgassystem, luftsystem, ångsystem, vakuumsystem",575550.0
35e41052-bd04-4094-a371-8f382edb3193,gassystem för utvinning av energi,,E10,Energigassystem,575551,0,311288,"biogas, naturgas, gasol, vätgas
",575551.0
3396f17b-af91-4c2b-a638-0cf7db396d25,energigassystem för naturgas,,E11,Naturgassystem,311288,0,312377,,311288.0
48d5ec7b-ddf9-41d9-a4cc-fc9fc6cc9b63,energigassystem för stadsgas,,E12,Stadsgassystem,311288,0,312378,,311288.0
e1804bb7-d67c-4723-a4d8-f2f467b1eaa6,energigassystem för gasol,,E13,Gasolsystem,311288,0,312379,,311288.0
a3cb5acf-d2ba-4a60-bd58-b8682be7ab7b,energigassystem för biogas,,E14,Biogassystem,311288,0,312380,,311288.0
d9671723-a0a9-42c7-8222-6e88369ddffb,gassystem för användning i industriell process,,E20,Processgassystem,575551,0,311289,,575551.0
67b74cbe-8c04-42fe-953b-6b30205f21f3,gassystem för medicinskt ändamål,,E30,Medicinsk gassystem,575551,0,311290,,575551.0
68352fb5-993d-40c2-a524-f40c37a7452a,medicinsk gassystem för andningsluft,,E31,Andningsluftssystem,311290,0,312381,,311290.0
366ede44-8311-4d4f-aa6b-b3d1007ce645,medicinsk gassystem för andningsoxygen,,E32,Andningsoxygenssystem,311290,0,312382,,311290.0
9b27a9ca-f8e6-487e-89c4-c92b14a09347,medicinsk gassystem för lustgas,,E33,Lustgassystem,311290,0,312383,,311290.0
7ac2d55f-9621-4d3d-844d-e329284d62d1,gassystem för speciellt ändamål,,E40,Specialgassystem,575551,0,311291,"koldioxid, kväve
",575551.0
2b140eb1-b9db-4d1a-a3d0-d6198092c01a,luftsystem,,E50,Luftsystem,575551,0,311292,,575551.0
edbdb048-5cf9-4894-962f-22e5612d9a85,luftsystem för trycksatt luft,,E51,Tryckluftssystem,311292,0,312454,,311292.0
2c88cb26-1b7e-47f0-bf4c-5772a46a067d,luftsystem för renad luft,,E52,Renluftssystem,311292,0,312455,,311292.0
6d88ab6e-d5ed-4f17-97b5-8f7a35eb117b,gas- och luftsystem för vatten i gasform,,E60,Ångsystem,575551,0,311295,,575551.0
c53d550e-3261-46f2-8e9d-b318bbeac176,luftsystem för undertryck,,E70,Vakuumsystem,575551,0,311296,,575551.0
